#YEAR
#Scenarios, Months, Vessel Types, Planned Task Amount, Reactive Task Types
#S M Y Ip Ir
1	12	2	1	1

#Vessels
#ID, Hours per month, Costs (per month), Amount avaialable (per month), Duration of planned, Duration of reactive (per type), Time used by installation (per month), Amount avaialable from installation (per month)
0	240	U	2000	U	2	40	U	240	U	0	U	0
1	240	U	2000	U	2	20	U	240	U	0	U	0

#Offline duration for planned task
50

#Hours in given month
U	720

#Energy$ per hour in given month
U	70

#Min/Max months between maint
6	9

#Failure characteristics
#Failure type ID, Leftover penalty, Duration of delay, and Duration of work
0	50400	0	240

#Failure amounts
#Scenario ID, Amount (per month) repeated (per type)
0	S	0	0	0	0	0	1	1	1	1	1	1	0

#Turbines
A	1	12	11	0	

#MIXED
#Vessels
#ID, Amount needed for planned tasks, Amount needed (per reactive task)
0	1	U	1
1	1	U	1

#Installation vessels
#ID, Type, Month, Number of tasks, (Start time, Duration) per task

#Failure times
#Month, Time array, repeated (per type)
0	
1	
2	
3	
4	
5	0
6	0
7	0
8	0
9	0
10	0
11	

#End Time
240
